values,attributes,fetal_health
120.0,baseline value,2.0
132.0,baseline value,1.0
133.0,baseline value,1.0
134.0,baseline value,1.0
132.0,baseline value,1.0
134.0,baseline value,3.0
134.0,baseline value,3.0
122.0,baseline value,3.0
122.0,baseline value,3.0
122.0,baseline value,3.0
151.0,baseline value,2.0
150.0,baseline value,2.0
131.0,baseline value,1.0
131.0,baseline value,1.0
130.0,baseline value,1.0
130.0,baseline value,1.0
130.0,baseline value,1.0
131.0,baseline value,2.0
130.0,baseline value,1.0
130.0,baseline value,1.0
129.0,baseline value,3.0
128.0,baseline value,1.0
128.0,baseline value,3.0
128.0,baseline value,3.0
128.0,baseline value,3.0
124.0,baseline value,3.0
124.0,baseline value,3.0
124.0,baseline value,3.0
132.0,baseline value,2.0
132.0,baseline value,1.0
132.0,baseline value,1.0
132.0,baseline value,1.0
132.0,baseline value,1.0
120.0,baseline value,1.0
120.0,baseline value,1.0
120.0,baseline value,1.0
115.0,baseline value,1.0
114.0,baseline value,1.0
115.0,baseline value,1.0
115.0,baseline value,1.0
114.0,baseline value,1.0
114.0,baseline value,1.0
116.0,baseline value,1.0
116.0,baseline value,1.0
122.0,baseline value,1.0
122.0,baseline value,1.0
122.0,baseline value,1.0
122.0,baseline value,1.0
122.0,baseline value,1.0
158.0,baseline value,1.0
158.0,baseline value,1.0
156.0,baseline value,1.0
156.0,baseline value,2.0
150.0,baseline value,2.0
148.0,baseline value,3.0
149.0,baseline value,2.0
149.0,baseline value,2.0
146.0,baseline value,1.0
148.0,baseline value,1.0
144.0,baseline value,1.0
146.0,baseline value,1.0
146.0,baseline value,1.0
142.0,baseline value,1.0
136.0,baseline value,1.0
141.0,baseline value,1.0
150.0,baseline value,1.0
138.0,baseline value,1.0
140.0,baseline value,1.0
144.0,baseline value,1.0
144.0,baseline value,1.0
140.0,baseline value,1.0
140.0,baseline value,1.0
140.0,baseline value,1.0
140.0,baseline value,1.0
154.0,baseline value,2.0
150.0,baseline value,2.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
145.0,baseline value,1.0
139.0,baseline value,1.0
139.0,baseline value,1.0
139.0,baseline value,2.0
139.0,baseline value,2.0
148.0,baseline value,2.0
148.0,baseline value,2.0
